,"Total energy, GJ/t"
,Belgium
year,
1945,
1946,
1947,
1948,
1949,
1950,31.71
1951,30.05861928902175
1952,28.500317472077324
1953,27.048555023152225
1954,25.716792416231968
1955,24.518490125302037
1956,23.467108624347947
1957,22.576108387355198
1958,21.858949888309287
1959,21.329093601195723
1960,21.000000000000004
1961,20.801585689784755
1962,20.646357589644214
1963,20.521661644611292
1964,20.414843799718913
1965,20.31325
1966,20.22674110208178
1967,20.161033060790807
1968,20.097254468458942
1969,20.016533917418048
1970,19.9
1971,19.63252171634272
1972,19.171758432823367
1973,18.608024291132654
1974,18.031633432961293
1975,17.5329
1976,17.11638792058691
1977,16.72041576951195
1978,16.33592965814353
1979,15.953875697850078
1980,15.5652
1981,15.16845965057441
1982,14.769688387129934
1983,14.371047298398251
1984,13.974697473111044
1985,13.5828
1986,13.165994580565554
1987,12.753289783872711
1988,12.434400000000002
1989,12.212172598442269
1990,12.023896899308628
1991,11.860950218599026
1992,11.714709872313415
1993,11.576553176451743
1994,11.437857447013954
1995,11.29
1996,11.126803303887987
1997,10.950268282555134
1998,10.764039935100053
1999,10.571763260621356
2000,10.377083258217654
2001,10.18364492698756
2002,9.995093266029684
2003,9.815073274442641
2004,9.647229951325041
2005,9.495208295775493
2006,9.362653306892614
2007,9.253209983775013
2008,9.170523325521302
2009,9.118238331230094
2010,9.1
2011,9.1
2012,9.1
2013,9.1
2014,9.1
2015,9.1
2016,9.1
2017,9.1
2018,9.1
2019,9.1
2020,9.1
2021,9.1
2022,9.1
2023,9.1
