,"Total energy, GJ/t"
,France
year,
1945,
1946,
1947,
1948,
1949,
1950,31.706129747899155
1951,30.425004910786615
1952,29.20747101650368
1953,28.055224116682798
1954,26.969960262956416
1955,25.953375506957
1956,25.00716590031698
1957,24.133027494668823
1958,23.332656341644977
1959,22.60774849287788
1960,21.96
1961,21.402173441639572
1962,20.923244482185673
1963,20.489228801911985
1964,20.0661420810922
1965,19.62
1966,19.15813255234501
1967,18.70319509839963
1968,18.244191368281744
1969,17.770125092109236
1970,17.27
1971,16.711552679448996
1972,16.10004194639297
1973,15.480754873612444
1974,14.898978533887945
1975,14.399999999999999
1976,13.948363766744682
1977,13.504072028285442
1978,13.105598406453861
1979,12.79141652308152
1980,12.6
1981,12.50643016494321
1982,12.445941657620326
1983,12.397238067825839
1984,12.339022985354234
1985,12.25
1986,12.056271334958149
1987,11.738547036573708
1988,11.357442429366172
1989,10.97357283785504
1990,10.647553586559818
1991,10.440000000000001
1992,10.314270313909809
1993,10.19345589377751
1994,10.07777175875369
1995,9.967432927988925
1996,9.8626544206338
1997,9.763651255838898
1998,9.670638452754797
1999,9.583831030532084
2000,9.503444008321335
2001,9.429692405273133
2002,9.362791240538064
2003,9.302955533266706
2004,9.250400302609643
2005,9.205340567717453
2006,9.167991347740722
2007,9.138567661830027
2008,9.117284529135956
2009,9.104356968809086
2010,9.1
2011,9.1
2012,9.1
2013,9.1
2014,9.1
2015,9.1
2016,9.1
2017,9.1
2018,9.1
2019,9.1
2020,9.1
2021,9.1
2022,9.1
2023,9.1
