year,"Total raw materials, kg/kg"
1945,
1946,
1947,
1948,
1949,
1950,1.4770420168067226
1951,1.471734871020477
1952,1.4695114822546973
1953,1.470550708508523
1954,1.4715899347623485
1955,1.4707677159223616
1956,1.4689832707408672
1957,1.4658745620184452
1958,1.4616301218161687
1959,1.456387059896653
1960,1.451857897263562
1961,1.4492348109940825
1962,1.4479957832595407
1963,1.4501341464631343
1964,1.452272509666728
1965,1.4116045686920344
1966,1.3701548446917013
1967,1.368966995638044
1968,1.3685609296100263
1969,1.3745320183720031
1970,1.3805031071339797
1971,1.3750622110566841
1972,1.3682108222066056
1973,1.3663311657247237
1974,1.3645496183206107
1975,1.360754226783132
1976,1.3552381232408208
1977,1.3489321121287816
1978,1.341894704374288
1979,1.333675871544308
1980,1.3244436090334866
1981,1.3143659122364704
1982,1.3036107765479035
1983,1.2923461973624324
1984,1.2807401700747028
1985,1.2689606900793595
1986,1.2571757527710488
1987,1.2455533535444154
1988,1.2342614877941056
1989,1.2234681509147647
1990,1.2133413383010379
1991,1.2040490453475714
1992,1.1957592674490098
1993,1.1886399999999997
1994,1.182094431939608
1995,1.1754558914595865
1996,1.1687875828336063
1997,1.162152710335338
1998,1.155614478238453
1999,1.1492360908166221
2000,1.143080752343517
2001,1.1372116670928083
2002,1.1316920393381675
2003,1.1265850733532647
2004,1.121953973411772
2005,1.11786194378736
2006,1.1143721887537
2007,1.111547912584463
2008,1.10945231955332
2009,1.108148613933942
2010,1.1077000000000001
2011,1.1077000000000001
2012,1.1077000000000001
2013,1.1077000000000001
2014,1.1077000000000001
2015,1.1077000000000001
2016,1.1077000000000001
2017,1.1077000000000001
2018,1.1077000000000001
2019,1.1077000000000001
2020,1.1077000000000001
2021,1.1077000000000001
2022,1.1077000000000001
2023,1.1077000000000001
