,Consumption
,[10^6 m²]
,Belgium
year,
1945,
1946,0.0
1947,0.0003940291394335512
1948,0.0015590958605664488
1949,0.0034696691176470586
1950,0.006100217864923747
1951,0.009425211056644879
1952,0.013419117647058824
1953,0.018056406590413944
1954,0.023311546840958607
1955,0.029159007352941177
1956,0.03557325708061002
1957,0.042528764978213514
1958,0.05
1959,0.06888327205882354
1960,0.10738970588235294
1961,0.1614659926470588
1962,0.22705882352941173
1963,0.3001148897058823
1964,0.3765808823529411
1965,0.4524034926470587
1966,0.5235294117647058
1967,0.5859053308823527
1968,0.6354779411764704
1969,0.6681939338235294
1970,0.68
1971,0.62
1972,0.65
1973,0.77
1974,1.05
1975,1.275
1976,1.57
1977,1.83
1978,1.85
1979,1.85
1980,2.5
1981,2.1
1982,1.9
1983,1.93277962539827
1984,2.0240310150204825
1985,2.1631229390077378
1986,2.339424167501138
1987,2.542303470641784
1988,2.7611296185707785
1989,2.9852713814292215
1990,3.204097529358216
1991,3.406976832498862
1992,3.5832780609922623
1993,3.722369984979518
1994,3.8136213746017296
1995,3.846401
1996,3.4741239999999998
1997,3.621974
1998,3.8222210000000003
1999,3.8733940000000002
2000,4.126049
2001,4.190195999999999
2002,3.8751310000000005
2003,4.0638190000000005
2004,4.315281
2005,4.757672
2006,5.049592
2007,5.08511
2008,4.7067049999999995
2009,4.423820000000001
2010,4.1490540000000005
2011,4.257042
2012,4.453182999999999
2013,4.008742
2014,3.744911681222161
2015,3.608365
2016,3.58819
2017,3.9226650000000003
2018,3.724026
2019,
2020,
