Info,,Export,,,,Import,,,,Production,,,,Estimated consumption,,,,"Total raw materials, consumption",,,"Total energy, consumption",,,"co2, consumption",,
Unit,,[10^6 m²],"[kt], average","[kt], max.","[kt], min.",[10^6 m²],"[kt], average","[kt], max.","[kt], min.",[10^6 m²],"[kt], average","[kt], max.","[kt], min.",[10^6 m²],"[kt], average","[kt], max.","[kt], min.","[Mt], average","[Mt], min.","[Mt], max.","[PJ], average","[PJ], min.","[PJ], max.","[kt], average","[kt], min.","[kt], max."
Nbr of countries,year,,,,,,,,,,,,,,,,,,,,,,,,,
6,1945,,,,,,,,,,,,,,,,,,,,,,,,,
6,1946,,,,,,,,,,,,,,,,,,,,,,,,,
6,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
6,1948,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,0,,,,,,,,,
6,1949,0,1,2,1,0,0,1,0,0,1,2,1,0,1,2,1,,,,,,,,,
6,1950,0,2,3,2,0,1,1,1,0,2,2,1,0,2,2,1,,,,,,,,,
6,1951,0,3,4,2,0,1,1,1,0,2,3,2,0,2,3,2,,,,,,,,,
6,1952,0,4,4,3,0,1,1,1,0,3,4,2,0,3,4,2,,,,,,,,,
6,1953,0,4,5,4,0,1,2,1,0,3,5,3,0,3,5,3,,,,,,,,,
6,1954,0,5,6,4,0,2,2,1,0,4,5,3,0,4,5,3,,,,,,,,,
6,1955,0,6,7,5,0,2,2,1,0,5,6,3,0,5,6,3,0,0,0,,,,,,
6,1956,0,7,8,5,0,2,2,2,1,19,26,15,1,19,26,15,0,0,0,,,,,,
6,1957,0,7,9,6,0,2,3,2,2,34,45,26,2,34,45,26,0,0,0,,,,,,
6,1958,0,8,10,6,0,2,3,2,2,49,64,37,2,49,64,37,0,0,0,,,,,,
6,1959,0,9,11,7,0,3,3,2,3,63,84,49,3,63,84,49,0,0,0,,,,,,
6,1960,0,10,12,8,0,3,3,2,4,78,103,60,4,78,103,60,0,0,0,,,,,,
6,1961,0,10,12,8,0,3,4,2,4,93,122,71,4,93,122,71,0,0,0,,,,,,
6,1962,0,11,13,9,0,3,4,3,5,107,142,82,5,107,142,82,0,0,0,,,,,,
6,1963,0,12,14,9,0,3,4,3,6,122,161,94,6,122,161,94,0,0,0,,,,,,
6,1964,1,13,15,10,0,4,4,3,6,137,180,105,6,137,180,105,0,0,0,,,,,,
6,1965,1,13,16,11,0,4,5,3,7,152,200,116,7,152,200,116,0,0,0,,,,,,
6,1966,1,14,17,11,0,4,5,3,8,166,219,128,8,166,219,128,0,0,0,,,,,,
6,1967,1,15,18,12,0,4,5,3,8,181,238,139,8,181,238,139,0,0,0,,,,,,
6,1968,1,15,19,12,0,5,6,4,9,196,258,150,9,196,258,150,0,0,0,,,,,,
6,1969,1,16,20,13,0,5,6,4,10,210,277,161,10,210,277,161,0,0,0,,,,,,
6,1970,1,17,20,14,0,5,6,4,11,225,296,173,11,225,296,173,0,0,0,4,3,5,362,277,476
6,1971,1,18,21,14,0,5,6,4,12,268,351,206,12,268,351,206,0,0,0,4,3,6,409,314,536
9,1972,1,18,22,15,0,5,7,4,14,310,405,239,14,310,405,239,0,0,1,5,4,7,456,351,596
9,1973,1,19,23,15,0,6,7,5,16,353,460,272,16,353,460,272,0,0,1,6,4,7,504,388,656
9,1974,1,20,24,16,0,6,7,5,18,396,515,305,18,396,515,305,1,0,1,6,5,8,551,425,717
9,1975,1,21,25,16,0,6,7,5,20,438,569,338,20,438,569,338,1,0,1,7,5,9,598,462,777
9,1976,1,21,26,17,0,6,8,5,24,534,690,413,24,534,690,413,1,1,1,7,6,10,697,539,901
9,1977,1,22,27,18,0,7,8,5,28,630,811,488,28,630,811,488,1,1,1,8,6,11,796,617,1025
9,1978,1,23,28,18,0,7,8,5,33,725,931,563,33,725,931,563,1,1,1,9,7,12,895,694,1149
9,1979,1,24,28,19,0,7,8,6,37,821,1052,638,37,821,1052,638,1,1,1,10,8,13,993,771,1273
10,1980,1,24,29,19,0,7,9,6,41,917,1173,713,41,917,1173,713,1,1,2,11,8,14,1092,849,1398
10,1981,1,25,30,20,0,7,9,6,45,1013,1294,788,45,1013,1294,788,1,1,2,11,9,15,1191,926,1522
10,1982,1,26,31,21,0,8,9,6,46,1042,1327,812,46,1042,1327,812,1,1,2,12,9,15,1199,934,1528
10,1983,1,27,32,21,0,8,9,6,47,1071,1359,836,47,1071,1359,836,1,1,2,12,9,15,1207,941,1534
10,1984,1,27,33,22,0,8,10,6,48,1100,1392,860,48,1100,1392,860,1,1,2,12,10,16,1215,948,1540
10,1985,1,28,34,22,0,8,10,7,49,1129,1425,884,49,1129,1425,884,1,1,2,13,10,16,1223,956,1546
12,1986,1,29,35,23,0,9,10,7,50,1159,1458,908,50,1159,1458,908,1,1,2,13,10,16,1231,963,1552
12,1987,1,29,36,24,0,9,11,7,51,1188,1491,932,51,1188,1491,932,1,1,2,13,11,17,1238,970,1558
12,1988,1,30,36,24,0,9,11,7,52,1217,1523,956,52,1217,1523,956,2,1,2,14,11,17,1246,978,1564
