,Consumption,
,[10^6 m²],[10^3 m²]
,France,France
year,,
1945,, -    
1946, -   , -    
1947, 0.001 , 1 
1948, 0.004 , 4 
1949, 0.008 , 8 
1950, 0.014 , 14 
1951, 0.022 , 22 
1952, 0.031 , 31 
1953, 0.041 , 41 
1954, 0.052 , 52 
1955, 0.065 , 65 
1956, 0.104 , 104 
1957, 0.194 , 194 
1958, 0.327 , 327 
1959, 0.498 , 498 
1960, 0.702 , 702 
1961, 0.931 , 931 
1962, 1.182 ," 1,182 "
1963, 1.447 ," 1,447 "
1964, 1.721 ," 1,721 "
1965, 1.998 ," 1,998 "
1966, 2.272 ," 2,272 "
1967, 2.538 ," 2,538 "
1968, 2.789 ," 2,789 "
1969, 3.020 ," 3,020 "
1970, 3.225 ," 3,225 "
1971, 3.405 ," 3,405 "
1972, 3.440 ," 3,440 "
1973, 3.580 ," 3,580 "
1974, 3.900 ," 3,900 "
1975, 4.165 ," 4,165 "
1976, 4.505 ," 4,505 "
1977, 4.807 ," 4,807 "
1978, 4.600 ," 4,600 "
1979, 4.452 ," 4,452 "
1980, 4.318 ," 4,318 "
1981, 4.221 ," 4,221 "
1982, 4.184 ," 4,184 "
1983, 4.850 ," 4,850 "
1984, 4.429 ," 4,429 "
1985, 4.314 ," 4,314 "
1986, 5.072 ," 5,072 "
1987, 6.019 ," 6,019 "
1988, 6.660 ," 6,660 "
1989, 6.760 ," 6,760 "
1990, 7.062 ," 7,062 "
1991, 8.047 ," 8,047 "
1992, 7.945 ," 7,945 "
1993, 8.091 ," 8,091 "
1994, 8.998 ," 8,998 "
1995, 9.563 ," 9,563 "
1996, 9.768 ," 9,768 "
1997, 10.496 ," 10,496 "
1998, 11.362 ," 11,362 "
1999, 13.292 ," 13,292 "
2000, 14.637 ," 14,637 "
2001, 15.565 ," 15,565 "
2002, 15.445 ," 15,445 "
2003, 15.945 ," 15,945 "
2004, 16.225 ," 16,225 "
2005, 16.021 ," 16,021 "
2006, 16.937 ," 16,937 "
2007, 17.876 ," 17,876 "
2008, 17.435 ," 17,435 "
2009, 16.176 ," 16,176 "
2010, 17.046 ," 17,046 "
2011, 17.544 ," 17,544 "
2012, 16.624 ," 16,624 "
2013, 15.928 ," 15,928 "
2014, 15.057 ," 15,057 "
2015, 14.973 ," 14,973 "
2016, 15.031 ," 15,031 "
2017, 15.388 ," 15,388 "
2018, 16.248 ," 16,248 "
2019, 16.800 ," 16,800 "
2020,, -    
